,LapTime,NextLapTime,LapNumber,DriverNumber,Team,Compound,TyreLife,FreshTyre,S1Time,S2Time,S3Time,S1STime,S2STime,S2STime,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Position,Deleted,TrackStatus
162,86.441,86.362,8.0,18,1,1,11.0,0,28.26,29.459,28.722,2650.896,2680.355,2680.355,315.0,309.0,321.0,0,12.0,0,1
163,86.362,86.084,9.0,18,1,1,12.0,0,28.131,29.427,28.804,2737.208,2766.635,2766.635,315.0,307.0,323.0,0,12.0,0,1
164,86.084,86.703,10.0,18,1,1,13.0,0,27.968,29.299,28.817,2823.407,2852.706,2852.706,316.0,307.0,325.0,0,12.0,0,1
165,86.703,86.451,11.0,18,1,1,14.0,0,28.125,29.54,29.038,2909.648,2939.188,2939.188,320.0,308.0,,0,12.0,0,1
166,86.451,86.869,12.0,18,1,1,15.0,0,28.028,29.414,29.009,2996.254,3025.668,3025.668,328.0,312.0,,0,12.0,0,1
167,86.869,86.872,13.0,18,1,1,16.0,0,28.014,29.903,28.951999999999998,3082.691,3112.594,3112.594,326.0,310.0,339.0,0,12.0,0,1
168,86.872,91.28,14.0,18,1,1,17.0,0,28.055,29.812,29.005,3169.601,3199.413,3199.413,320.0,309.0,334.0,0,12.0,0,1
169,91.28,101.299,15.0,18,1,1,18.0,0,27.998,29.697,33.585,3256.416,3286.113,3286.113,321.0,,331.0,0,14.0,0,1
170,101.299,86.183,16.0,18,1,1,19.0,0,43.092,29.403,28.804,3362.79,3392.193,3392.193,313.0,307.0,280.0,0,17.0,0,1
171,86.183,86.007,17.0,18,1,1,20.0,0,28.21,29.211,28.762,3449.207,3478.418,3478.418,312.0,306.0,322.0,0,17.0,0,1
172,86.007,86.24,18.0,18,1,1,21.0,0,28.15,29.145,28.712,3535.33,3564.475,3564.475,315.0,307.0,317.0,0,17.0,0,1
173,86.24,86.09,19.0,18,1,1,22.0,0,28.047,29.399,28.794,3621.234,3650.633,3650.633,313.0,307.0,322.0,0,17.0,0,1
174,86.09,85.949,20.0,18,1,1,23.0,0,27.932,29.345,28.813,3707.359,3736.704,3736.704,315.0,307.0,325.0,0,16.0,0,1
175,85.949,90.487,21.0,18,1,1,24.0,0,27.955,29.308,28.686,3793.472,3822.78,3822.78,314.0,308.0,,0,15.0,0,1
176,90.487,105.004,22.0,18,1,1,25.0,0,27.954,29.214,33.319,3879.42,3908.634,3908.634,315.0,,320.0,0,16.0,0,1
177,105.004,85.416,23.0,18,1,2,1.0,0,48.162,28.697,28.145,3990.115,4018.812,4018.812,315.0,311.0,284.0,0,17.0,0,1
